timestamp,latitude,longitude,altitude,speedmph,speedkmh,accuracy
12/22/2018 12:09:32 PM,41.603367,-86.754688,259,48.5,78.0,15.975934
12/22/2018 12:09:34 PM,41.603271,-86.755283,266,52.0,83.7,10
12/22/2018 12:09:35 PM,41.603228,-86.755552,265,51.3,82.6,10
12/22/2018 12:09:37 PM,41.603144,-86.756071,261,50.9,81.9,10
12/22/2018 12:09:39 PM,41.603064,-86.756573,266,52.0,83.7,10
12/22/2018 12:09:41 PM,41.602973,-86.757134,265,51.9,83.6,14.772264
12/22/2018 12:09:43 PM,41.602885,-86.757682,264,52.5,84.5,13.140321
12/22/2018 12:09:45 PM,41.602795,-86.758245,262,53.5,86.0,14.064317
12/22/2018 12:09:47 PM,41.602706,-86.758799,260,53.7,86.4,12.133441
12/22/2018 12:09:49 PM,41.602614,-86.759369,259,53.9,86.8,9.461421
12/22/2018 12:09:51 PM,41.602524,-86.759924,258,54.3,87.3,5
12/22/2018 12:09:53 PM,41.602432,-86.760497,256,53.8,86.6,8.486015
12/22/2018 12:09:55 PM,41.602338,-86.761084,255,55.0,88.5,5
12/22/2018 12:09:57 PM,41.602246,-86.761656,256,54.5,87.8,8.421969
12/22/2018 12:09:59 PM,41.602188,-86.762012,257,54.9,88.4,10
12/22/2018 12:10:01 PM,41.602086,-86.762649,257,55.9,90.0,10
12/22/2018 12:10:03 PM,41.601984,-86.763282,256,57.4,92.4,10
12/22/2018 12:10:05 PM,41.601883,-86.763905,255,56.5,91.0,10
12/22/2018 12:10:07 PM,41.60178,-86.764549,255,57.0,91.7,10
12/22/2018 12:10:09 PM,41.601679,-86.765177,252,57.0,91.7,9.530493
12/22/2018 12:10:11 PM,41.601578,-86.765799,252,57.0,91.8,10
12/22/2018 12:10:13 PM,41.601471,-86.766466,247,59.3,95.4,10
12/22/2018 12:10:15 PM,41.60137,-86.767094,250,58.4,93.9,10
12/22/2018 12:10:17 PM,41.60127,-86.767714,250,59.6,95.9,10
12/22/2018 12:10:19 PM,41.601169,-86.768341,249,58.8,94.6,10
12/22/2018 12:10:21 PM,41.601064,-86.768994,250,60.2,96.9,10
12/22/2018 12:10:22 PM,41.600908,-86.769608,250,60.4,97.2,10
12/22/2018 12:10:24 PM,41.600804,-86.770223,248,59.9,96.5,10
12/22/2018 12:10:26 PM,41.600759,-86.77089,250,60.6,97.5,10
12/22/2018 12:10:28 PM,41.600659,-86.771512,252,60.9,98.0,10
12/22/2018 12:10:30 PM,41.600553,-86.772167,251,62.2,100.2,10
12/22/2018 12:10:32 PM,41.600446,-86.772836,251,64.2,103.4,10
12/22/2018 12:10:34 PM,41.600343,-86.773474,252,61.4,98.8,10
